FlyAsh,GGBFS,NaOH_M,Na2SiO3,CopperSlag,RecycledAgg,Curing_Days,Comp_Strength,provenance,material_system
400,0,12,120,0,0,14,39.6,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,0,14,63.7,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,0,14,79.1,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,0,14,41.7,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,0,14,64.1,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,0,14,79.5,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,0,28,38.7,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,0,28,46.2,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,0,28,63.2,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,0,28,80.1,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,0,28,48.4,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,0,28,67.3,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,0,28,81.0,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,3,34.3,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,3,39.4,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,3,69.8,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,3,84.8,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,3,43.4,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,3,70.6,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,3,85.2,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,7,35.0,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,7,40.7,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,7,70.1,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,7,84.6,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,7,43.7,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,7,70.5,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,7,85.3,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,14,37.0,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,14,43.6,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,14,70.1,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,14,87.0,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,14,45.9,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,14,70.5,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,14,87.4,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,28,42.6,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,28,50.8,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,28,69.5,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,28,88.1,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,28,53.2,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,28,74.1,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,0,28,89.2,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,3,29.6,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,3,34.0,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,3,60.3,Data.xlsx,fly_ash_slag_concrete
