sample_id,sorbent_name,sorbent_class,framework_code,adsorbate,adsorbate_class,capacity_mg_g,capacity_type,capacity_std,initial_conc_mg_L,dose_g_L,temperature_K,ph,contact_time_h,competing_ion,competing_ion_mg_L,si_al,na_al,k_al,ca_al,precursor,activator_molarity,bet_m2_g,pore_volume_cm3_g,cec_meq_100g,al_content_mol_kg,al_iv_pct,al_iv_mmol_g,kd_mL_g,kd_competing_ion,selectivity_factor,langmuir_b_L_mg,freundlich_kf,freundlich_n,dr_e_kj_mol,r2,provenance_doi,source_label,replicated,from_figure,value_repeated
Si10 Al1 Na1 Ca11_rhodamine_6G,Si10 Al1 Na1 Ca11,,,rhodamine_6G,dye,27.621113521330432,single_point_q,0.6261933505310364,150.0,1.0,,7.0,,,,10.0,1.0,,11.0,synthetic_colloidal_silica_Al_nitrate,,5.1397,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si5 Al1 Na1 Ca6_rhodamine_6G,Si5 Al1 Na1 Ca6,,,rhodamine_6G,dye,12.436731742588572,single_point_q,0.6261933505310281,150.0,1.0,,7.0,,,,5.0,1.0,,6.0,synthetic_colloidal_silica_Al_nitrate,,3.5173,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca5_rhodamine_6G,Si4 Al1 Na1 Ca5,,,rhodamine_6G,dye,14.605929139551703,single_point_q,0.6261933505310446,150.0,1.0,,7.0,,,,4.0,1.0,,5.0,synthetic_colloidal_silica_Al_nitrate,,6.9212,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si3 Al1 Na1 Ca4_rhodamine_6G,Si3 Al1 Na1 Ca4,,,rhodamine_6G,dye,17.13665943600867,single_point_q,1.0845986984815568,150.0,1.0,,7.0,,,,3.0,1.0,,4.0,synthetic_colloidal_silica_Al_nitrate,,10.2911,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si2 Al1 Na1 Ca3_rhodamine_6G,Si2 Al1 Na1 Ca3,,,rhodamine_6G,dye,18.94432393347793,single_point_q,0.6261933505310446,150.0,1.0,,7.0,,,,2.0,1.0,,3.0,synthetic_colloidal_silica_Al_nitrate,,13.1828,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si1 Al1 Na1 Ca2_rhodamine_6G,Si1 Al1 Na1 Ca2,,,rhodamine_6G,dye,20.39045553145336,single_point_q,1.87858005159315,150.0,1.0,,7.0,,,,1.0,1.0,,2.0,synthetic_colloidal_silica_Al_nitrate,,14.1045,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca1_rhodamine_6G,Si4 Al1 Na1 Ca1,,,rhodamine_6G,dye,9.18293564714392,single_point_q,0.6261933505310445,150.0,1.0,,7.0,,,,4.0,1.0,,1.0,synthetic_colloidal_silica_Al_nitrate,,2.7858,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca2_rhodamine_6G,Si4 Al1 Na1 Ca2,,,rhodamine_6G,dye,7.736804049168493,single_point_q,0.626193350531061,150.0,1.0,,7.0,,,,4.0,1.0,,2.0,synthetic_colloidal_silica_Al_nitrate,,1.0347,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca3_rhodamine_6G,Si4 Al1 Na1 Ca3,,,rhodamine_6G,dye,10.267534345625478,single_point_q,0.6261933505310446,150.0,1.0,,7.0,,,,4.0,1.0,,3.0,synthetic_colloidal_silica_Al_nitrate,,2.7037,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca4_rhodamine_6G,Si4 Al1 Na1 Ca4,,,rhodamine_6G,dye,19.305856832971795,single_point_q,1.084598698481571,150.0,1.0,,7.0,,,,4.0,1.0,,4.0,synthetic_colloidal_silica_Al_nitrate,,7.9533,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca5_rhodamine_6G,Si4 Al1 Na1 Ca5,,,rhodamine_6G,dye,14.605929139551703,single_point_q,0.6261933505310446,150.0,1.0,,7.0,,,,4.0,1.0,,5.0,synthetic_colloidal_silica_Al_nitrate,,6.9212,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
katada2024_FAU_6.1,FAU 6.1,zeolite,FAU,Cs,radionuclide,73.09775,iec_meq_g,,210.0,1.0,298.0,,0.08333333333333333,Na,1000.0,1.37,,,,,,,,,6.08,,,,,,,,,,,10.1021/acs.langmuir.4c00801,katada2024,,False,False
katada2024_LTA_6.7,LTA 6.7,zeolite,LTA,Cs,radionuclide,23.9229,iec_meq_g,,210.0,1.0,298.0,,0.08333333333333333,Na,1000.0,1.12,,,,,,,,,6.69,,,,,,,,,,,10.1021/acs.langmuir.4c00801,katada2024,,False,False
katada2024_MFI_1.2,MFI 1.2,zeolite,MFI,Cs,radionuclide,132.905,iec_meq_g,,210.0,1.0,298.0,,0.08333333333333333,Na,1000.0,12.3,,,,,,,,,1.22,,,,,,,,,,,10.1021/acs.langmuir.4c00801,katada2024,,False,False
katada2024_YFI_1.3,YFI 1.3,zeolite,YFI,Cs,radionuclide,110.31115,iec_meq_g,,210.0,1.0,298.0,,0.08333333333333333,Na,1000.0,11.1,,,,,,,,,1.33,,,,,,,,,,,10.1021/acs.langmuir.4c00801,katada2024,,False,False
katada2024_MOR_1.5,MOR 1.5,zeolite,MOR,Cs,radionuclide,191.3832,iec_meq_g,,210.0,1.0,298.0,,0.08333333333333333,Na,1000.0,9.88,,,,,,,,,1.48,,,,,,,,,,,10.1021/acs.langmuir.4c00801,katada2024,,False,False
katada2024_MOR_1.7,MOR 1.7,zeolite,MOR,Cs,radionuclide,211.31895,iec_meq_g,,210.0,1.0,298.0,,0.08333333333333333,Na,1000.0,8.37,,,,,,,,,1.71,,,,,,,,,,,10.1021/acs.langmuir.4c00801,katada2024,,False,False
tarnovsky2024_Kaolin_Cs,Kaolin,clay,,Cs,radionuclide,13.290500000000002,langmuir_qmax,,1329.05,,,,,,,1.0271159849894358,,,,metakaolin,,9.0,0.12,,,,,,,,0.10157631390843083,,,,,10.15407/hftp15.01.102,tarnovsky2024,,False,False
tarnovsky2024_Kaolin_Sr,Kaolin,clay,,Sr,radionuclide,14.895400000000002,langmuir_qmax,,876.2,,,,,,,1.0271159849894358,,,,metakaolin,,9.0,0.12,,,,,,,,0.02727687742524538,,,,,10.15407/hftp15.01.102,tarnovsky2024,,False,False
tarnovsky2024_GP1_Cs,GP 1,geopolymer,,Cs,radionuclide,232.58375,langmuir_qmax,,1329.05,,,,,,,1.9531840717113687,,,,metakaolin,,26.0,0.25,,,,,,,,0.049960498100146716,,,,,10.15407/hftp15.01.102,tarnovsky2024,,False,False
tarnovsky2024_GP1_Sr,GP 1,geopolymer,,Sr,radionuclide,48.19100000000001,langmuir_qmax,,876.2,,,,,,,1.9531840717113687,,,,metakaolin,,26.0,0.25,,,,,,,,0.05364072129650765,,,,,10.15407/hftp15.01.102,tarnovsky2024,,False,False
tarnovsky2024_GP2_Cs,GP 2,geopolymer,,Cs,radionuclide,123.60165,langmuir_qmax,,1329.05,,,,,,,1.5920376667012472,,,,metakaolin,,88.0,0.29,,,,,,,,0.14446409089199053,,,,,10.15407/hftp15.01.102,tarnovsky2024,,False,False
tarnovsky2024_GP2_Sr,GP 2,geopolymer,,Sr,radionuclide,56.953,langmuir_qmax,,876.2,,,,,,,1.5920376667012472,,,,metakaolin,,88.0,0.29,,,,,,,,0.045879936087651216,,,,,10.15407/hftp15.01.102,tarnovsky2024,,False,False
varon2025_K-0.5-16,K-0.5-16,geopolymer,,Sr,radionuclide,,kd_mL_g,,,,,,,,,1.14,,,,metakaolin,,72.0,,,,96.0,4.77,4100.0,Ca,6.7,,,,,,10.1016/j.clema.2025.100331,varon2025,,False,False
varon2025_K-1-16,K-1-16,geopolymer,,Sr,radionuclide,,kd_mL_g,,,,,,,,,1.55,,,,metakaolin,,163.0,,,,93.8,4.14,2500.0,Ca,10.0,,,,,,10.1016/j.clema.2025.100331,varon2025,,False,False
varon2025_K-1.2-16,K-1.2-16,geopolymer,,Sr,radionuclide,,kd_mL_g,,,,,,,,,1.67,,,,metakaolin,,188.0,,,,94.0,3.94,1800.0,Ca,8.2,,,,,,10.1016/j.clema.2025.100331,varon2025,,False,False
varon2025_K-1.5-16,K-1.5-16,geopolymer,,Sr,radionuclide,,kd_mL_g,,,,,,,,,1.79,,,,metakaolin,,212.0,,,,91.4,3.71,1100.0,Ca,6.5,,,,,,10.1016/j.clema.2025.100331,varon2025,,False,False
varon2025_K-1.2-8,K-1.2-8 (inferred),geopolymer,,Sr,radionuclide,,kd_mL_g,,,,,,,,,1.83,,,,metakaolin,,15.0,,,,88.0,3.61,70.0,Ca,2.4,,,,,,10.1016/j.clema.2025.100331,varon2025,,False,False
varon2025_K-1.2-12,K-1.2-12 (inferred),geopolymer,,Sr,radionuclide,,kd_mL_g,,,,,,,,,1.63,,,,metakaolin,,182.0,,,,92.4,3.83,1900.0,Ca,16.2,,,,,,10.1016/j.clema.2025.100331,varon2025,,False,False
varon2025_Na-1.2-16,Na-1.2-16 (inferred),geopolymer,,Sr,radionuclide,,kd_mL_g,,,,,,,,,1.67,,,,metakaolin,,38.0,,,,84.7,3.45,900.0,Ca,5.1,,,,,,10.1016/j.clema.2025.100331,varon2025,,False,False
lin2026_ACSr,ACSr,geopolymer,,Sr,radionuclide,222.11670000000004,iec_meq_g,,,,298.0,,,Na,35000.0,,,,,,,,,,,,,,,,,,,,,10.3390/ceramics9020021,lin2026,,False,False
lin2026_NCGO,NCGO,geopolymer,,Cs,radionuclide,54.491049999999994,iec_meq_g,,10.0,,298.0,,,Na,35000.0,,,,,,,39.2,0.25,,,,,,,,,,,,,10.3390/ceramics9020021,lin2026,,False,False
lin2026_NiGO,NiGO,geopolymer,,Cs,radionuclide,46.516749999999995,iec_meq_g,,10.0,,298.0,,,Na,35000.0,,,,,,,38.8,0.15,,,,,,,,,,,,,10.3390/ceramics9020021,lin2026,,False,False
lin2026_CoGO,CoGO,geopolymer,,Cs,radionuclide,45.18770000000001,iec_meq_g,,10.0,,298.0,,,Na,35000.0,,,,,,,29.3,0.13,,,,,,,,,,,,,10.3390/ceramics9020021,lin2026,,False,False
lin2026_Ba-4A,Ba-4A,zeolite,,Sr,radionuclide,166.9161,iec_meq_g,,,,298.0,,,Na,35000.0,,,,,,,,,,,,,,,,,,,,,10.3390/ceramics9020021,lin2026,,False,False
lin2026_CuFC/4A,CuFC/4A,zeolite,,Cs,radionuclide,86.38825,iec_meq_g,,10.0,,298.0,,,Na,35000.0,,,,,,,5.25,1.52,,,,,,,,,,,,,10.3390/ceramics9020021,lin2026,,False,False
tian2019espr_zeoliteA_Cs,Zeolite A (from fly ash),zeolite,,Cs,radionuclide,281.7586,langmuir_qmax,,,1.0,298.0,7.0,3.0,,,0.8208790773177854,,,,coal_fly_ash,,121.0,0.23,,,,,,,,,,,,0.9788,10.1007/s11356-019-05612-1,tian2019_espr,,False,False
tian2019espr_zeoliteA_Sr,Zeolite A (from fly ash),zeolite,,Sr,radionuclide,169.10660000000001,langmuir_qmax,,,1.0,298.0,7.0,3.0,,,0.8208790773177854,,,,coal_fly_ash,,121.0,0.23,,,,,,,,,,,,0.9989,10.1007/s11356-019-05612-1,tian2019_espr,,False,False
xiang2021_GF300,GF300,geopolymer,,Cs,radionuclide,161.75,single_point_q,3.24,500.0,,298.0,7.0,96.0,,,1.023989470613433,0.716,,,metakaolin_foam,,53.78,,,,,,,,,,,,,,10.1016/j.jece.2021.105733,xiang2021,True,False,False
xiang2021_GF400,GF400,geopolymer,,Cs,radionuclide,164.16,single_point_q,3.28,500.0,,298.0,7.0,96.0,,,1.023989470613433,0.716,,,metakaolin_foam,,49.42,,,,,,,,,,,,,,10.1016/j.jece.2021.105733,xiang2021,True,False,False
xiang2021_GF500,GF500,geopolymer,,Cs,radionuclide,185.82,single_point_q,3.72,500.0,,298.0,7.0,96.0,,,1.023989470613433,0.716,,,metakaolin_foam,,45.83,,,,,,,,,,,,,,10.1016/j.jece.2021.105733,xiang2021,True,False,False
xiang2021_GF600,GF600,geopolymer,,Cs,radionuclide,192.14,single_point_q,3.84,500.0,,298.0,7.0,96.0,,,1.023989470613433,0.716,,,metakaolin_foam,,37.77,,,,,,,,,,,,,,10.1016/j.jece.2021.105733,xiang2021,True,False,False
xiang2021_GF600_langmuir,GF600,geopolymer,,Cs,radionuclide,216.1,langmuir_qmax,,500.0,,298.0,7.0,96.0,,,1.023989470613433,0.716,,,metakaolin_foam,,37.77,,,,,,,,,0.026,,,,0.9808,10.1016/j.jece.2021.105733,xiang2021,True,False,False
zhang2021_Flyash,Flyash-geomaterial,alkali_activated_material,,Cs,radionuclide,89.32,langmuir_qmax,,,,,,,,,,,,,,,,,,,,,,,,0.1665,,,,0.9948,10.3390/app11188407,zhang2021,,False,False
zhang2021_Slag,Slag-geomaterial,alkali_activated_material,,Cs,radionuclide,44.52,langmuir_qmax,,,,,,,,,,,,,,,,,,,,,,,,0.02126,,,,0.9954,10.3390/app11188407,zhang2021,,False,False
baek2018_chabazite,chabazite,zeolite,,Cs,radionuclide,1249.5,langmuir_qmax,,2658.1,,,,,,,1.5,,,,,,,,238.1,,,,,,,7.9433e-05,,,,0.99989,10.1016/j.micromeso.2018.01.025,baek2018,,False,False
baek2018_stilbite,stilbite,zeolite,,Cs,radionuclide,76.278,langmuir_qmax,,2658.1,,,,,,,3.88,,,,,,,,,,,,,,,0.0012934,,,,0.99994,10.1016/j.micromeso.2018.01.025,baek2018,,False,False
baek2018_heulandite,heulandite,zeolite,,Cs,radionuclide,59.488,langmuir_qmax,,2658.1,,,,,,,3.48,,,,,,,,,,,,,,,0.0016726,,,,0.99998,10.1016/j.micromeso.2018.01.025,baek2018,,False,False
